Hostname,HostIP/MaskLength,DockerSubnet/MaskLength,RackName,Estate
shared0-flowsnakeworkerprod1-34-phx.ops.sfdc.net,10.220.74.8/28,10.235.32.192/27,d52-01,phx-flowsnake_prod
shared0-flowsnakeworkerprod1-35-phx.ops.sfdc.net,10.220.74.75/28,10.235.36.224/27,v35-01,phx-flowsnake_prod
shared0-flowsnakeworkerprod1-36-phx.ops.sfdc.net,10.220.74.9/28,10.235.32.224/27,d52-01,phx-flowsnake_prod
shared0-flowsnakeworkerprod1-37-phx.ops.sfdc.net,10.220.74.55/28,10.235.37.160/27,w10-02,phx-flowsnake_prod
shared0-flowsnakeworkerprod1-38-phx.ops.sfdc.net,10.220.74.40/28,10.235.34.0/27,n43-02,phx-flowsnake_prod
shared0-flowsnakeworkerprod1-39-phx.ops.sfdc.net,10.220.74.24/28,10.235.35.64/27,s49-01,phx-flowsnake_prod
shared0-flowsnakeworkerprod1-4-phx.ops.sfdc.net,10.220.74.25/28,10.235.35.96/27,s49-01,phx-flowsnake_prod
shared0-flowsnakeworkerprod1-40-phx.ops.sfdc.net,10.220.74.10/28,10.235.33.0/27,d52-01,phx-flowsnake_prod
shared0-flowsnakeworkerprod1-41-phx.ops.sfdc.net,10.220.74.11/28,10.235.33.32/27,d52-01,phx-flowsnake_prod
shared0-flowsnakeworkerprod1-42-phx.ops.sfdc.net,10.220.74.56/28,10.235.37.192/27,w10-02,phx-flowsnake_prod
shared0-flowsnakeworkerprod1-43-phx.ops.sfdc.net,10.220.74.41/28,10.235.34.32/27,n43-02,phx-flowsnake_prod
shared0-flowsnakeworkerprod1-44-phx.ops.sfdc.net,10.220.74.57/28,10.235.37.224/27,w10-02,phx-flowsnake_prod
shared0-flowsnakeworkerprod1-45-phx.ops.sfdc.net,10.220.74.42/28,10.235.34.64/27,n43-02,phx-flowsnake_prod
shared0-flowsnakeworkerprod1-5-phx.ops.sfdc.net,10.220.74.26/28,10.235.35.128/27,s49-01,phx-flowsnake_prod
shared0-flowsnakeworkerprod1-6-phx.ops.sfdc.net,10.220.74.27/28,10.235.35.160/27,s49-01,phx-flowsnake_prod
shared0-flowsnakeworkerprod1-7-phx.ops.sfdc.net,10.220.74.58/28,10.235.38.0/27,w10-02,phx-flowsnake_prod
shared0-flowsnakeworkerprod1-8-phx.ops.sfdc.net,10.220.74.59/28,10.235.38.32/27,w10-02,phx-flowsnake_prod
shared0-flowsnakeworkerprod1-9-phx.ops.sfdc.net,10.220.74.43/28,10.235.34.96/27,n43-02,phx-flowsnake_prod
