Hostname,HostIP/MaskLength,DockerSubnet/MaskLength,RackName,Estate
shared0-samminionceph1-10-ukb.ops.sfdc.net,10.218.157.10/29,10.213.20.0/27,k09-02,ukb-sam_ceph
shared0-samminionceph1-11-ukb.ops.sfdc.net,10.218.157.34/29,10.213.20.64/27,k10-02,ukb-sam_ceph
shared0-samminionceph1-12-ukb.ops.sfdc.net,10.218.159.2/29,10.213.19.128/27,j07-02,ukb-sam_ceph
shared0-samminionceph1-13-ukb.ops.sfdc.net,10.218.159.18/29,10.213.17.32/27,c10-02,ukb-sam_ceph
shared0-samminionceph1-14-ukb.ops.sfdc.net,10.218.157.59/29,10.213.18.192/27,g08-02,ukb-sam_ceph
shared0-samminionceph1-15-ukb.ops.sfdc.net,10.218.157.106/29,10.213.19.64/27,j05-02,ukb-sam_ceph
shared0-samminionceph1-16-ukb.ops.sfdc.net,10.218.157.107/29,10.213.19.96/27,j05-02,ukb-sam_ceph
shared0-samminionceph1-17-ukb.ops.sfdc.net,10.218.159.58/29,10.213.18.0/27,f03-02,ukb-sam_ceph
shared0-samminionceph1-2-ukb.ops.sfdc.net,10.218.157.35/29,10.213.20.96/27,k10-02,ukb-sam_ceph
shared0-samminionceph1-3-ukb.ops.sfdc.net,10.218.157.82/29,10.213.21.64/27,l02-02,ukb-sam_ceph
shared0-samminionceph1-4-ukb.ops.sfdc.net,10.218.159.106/29,10.213.19.192/27,j08-02,ukb-sam_ceph
shared0-samminionceph1-5-ukb.ops.sfdc.net,10.218.157.11/29,10.213.20.32/27,k09-02,ukb-sam_ceph
shared0-samminionceph1-6-ukb.ops.sfdc.net,10.218.159.74/29,10.213.17.160/27,e10-02,ukb-sam_ceph
shared0-samminionceph1-7-ukb.ops.sfdc.net,10.218.159.3/29,10.213.19.160/27,j07-02,ukb-sam_ceph
shared0-samminionceph1-8-ukb.ops.sfdc.net,10.218.157.83/29,10.213.21.96/27,l02-02,ukb-sam_ceph
shared0-samminionceph1-9-ukb.ops.sfdc.net,10.218.159.34/29,10.213.18.224/27,h01-02,ukb-sam_ceph
shared0-samminionceph2-1-ukb.ops.sfdc.net,10.218.157.90/29,10.213.22.0/27,m21-01,ukb-sam_ceph
shared0-samminionceph2-10-ukb.ops.sfdc.net,10.218.157.66/29,10.213.17.192/27,f02-02,ukb-sam_ceph
shared0-samminionceph2-11-ukb.ops.sfdc.net,10.218.159.10/29,10.213.16.128/27,b09-02,ukb-sam_ceph
shared0-samminionceph2-12-ukb.ops.sfdc.net,10.218.159.11/29,10.213.16.160/27,b09-02,ukb-sam_ceph
shared0-samminionceph2-13-ukb.ops.sfdc.net,10.218.159.26/29,10.213.17.0/27,c09-02,ukb-sam_ceph
shared0-samminionceph2-14-ukb.ops.sfdc.net,10.218.159.66/29,10.213.19.224/27,k08-02,ukb-sam_ceph
shared0-samminionceph2-15-ukb.ops.sfdc.net,10.218.159.90/29,10.213.20.128/27,k11-02,ukb-sam_ceph
shared0-samminionceph2-16-ukb.ops.sfdc.net,10.218.157.114/29,10.213.21.192/27,l30-01,ukb-sam_ceph
shared0-samminionceph2-17-ukb.ops.sfdc.net,10.218.157.42/29,10.213.18.96/27,f24-01,ukb-sam_ceph
shared0-samminionceph2-2-ukb.ops.sfdc.net,10.218.159.114/29,10.213.20.160/27,k21-01,ukb-sam_ceph
shared0-samminionceph2-3-ukb.ops.sfdc.net,10.218.157.91/29,10.213.22.32/27,m21-01,ukb-sam_ceph
shared0-samminionceph2-4-ukb.ops.sfdc.net,10.218.159.42/29,10.213.21.32/27,l01-02,ukb-sam_ceph
shared0-samminionceph2-5-ukb.ops.sfdc.net,10.218.157.43/29,10.213.18.128/27,f24-01,ukb-sam_ceph
shared0-samminionceph2-6-ukb.ops.sfdc.net,10.218.157.67/29,10.213.17.224/27,f02-02,ukb-sam_ceph
shared0-samminionceph2-7-ukb.ops.sfdc.net,10.218.157.18/29,10.213.20.224/27,k25-01,ukb-sam_ceph
shared0-samminionceph2-8-ukb.ops.sfdc.net,10.218.157.19/29,10.213.21.0/27,k25-01,ukb-sam_ceph
shared0-samminionceph2-9-ukb.ops.sfdc.net,10.218.157.115/29,10.213.21.224/27,l30-01,ukb-sam_ceph
shared0-samminionceph3-1-ukb.ops.sfdc.net,10.218.157.122/29,10.213.18.32/27,f05-02,ukb-sam_ceph
shared0-samminionceph3-10-ukb.ops.sfdc.net,10.218.157.26/29,10.213.16.192/27,b10-02,ukb-sam_ceph
shared0-samminionceph3-11-ukb.ops.sfdc.net,10.218.159.98/29,10.213.19.32/27,h22-01,ukb-sam_ceph
shared0-samminionceph3-12-ukb.ops.sfdc.net,10.218.157.2/29,10.213.21.128/27,l28-01,ukb-sam_ceph
shared0-samminionceph3-13-ukb.ops.sfdc.net,10.218.157.50/29,10.213.16.64/27,b08-02,ukb-sam_ceph
shared0-samminionceph3-14-ukb.ops.sfdc.net,10.218.157.123/29,10.213.18.64/27,f05-02,ukb-sam_ceph
shared0-samminionceph3-15-ukb.ops.sfdc.net,10.218.159.122/29,10.213.17.128/27,e08-02,ukb-sam_ceph
shared0-samminionceph3-16-ukb.ops.sfdc.net,10.218.157.3/29,10.213.21.160/27,l28-01,ukb-sam_ceph
shared0-samminionceph3-2-ukb.ops.sfdc.net,10.218.157.74/29,10.213.16.0/27,b03-02,ukb-sam_ceph
shared0-samminionceph3-3-ukb.ops.sfdc.net,10.218.157.98/29,10.213.17.64/27,d06-02,ukb-sam_ceph
shared0-samminionceph3-4-ukb.ops.sfdc.net,10.218.157.75/29,10.213.16.32/27,b03-02,ukb-sam_ceph
shared0-samminionceph3-5-ukb.ops.sfdc.net,10.218.157.27/29,10.213.16.224/27,b10-02,ukb-sam_ceph
shared0-samminionceph3-6-ukb.ops.sfdc.net,10.218.159.50/29,10.213.20.192/27,k24-01,ukb-sam_ceph
shared0-samminionceph3-7-ukb.ops.sfdc.net,10.218.159.82/29,10.213.19.0/27,h02-02,ukb-sam_ceph
shared0-samminionceph3-8-ukb.ops.sfdc.net,10.218.157.99/29,10.213.17.96/27,d06-02,ukb-sam_ceph
shared0-samminionceph3-9-ukb.ops.sfdc.net,10.218.157.51/29,10.213.16.96/27,b08-02,ukb-sam_ceph
shared0-samminionchatbotrt1-1-ukb.ops.sfdc.net,10.218.153.34/29,10.213.8.160/27,h02-02,ukb-sam_chatbot_kingdom
shared0-samminionchatbotrt1-10-ukb.ops.sfdc.net,10.218.153.2/29,10.213.9.192/27,m08-02,ukb-sam_chatbot_kingdom
shared0-samminionchatbotrt1-2-ukb.ops.sfdc.net,10.218.153.3/29,10.213.9.224/27,m08-02,ukb-sam_chatbot_kingdom
shared0-samminionchatbotrt1-3-ukb.ops.sfdc.net,10.218.153.4/29,10.213.10.0/27,m08-02,ukb-sam_chatbot_kingdom
shared0-samminionchatbotrt1-4-ukb.ops.sfdc.net,10.218.153.50/29,10.213.8.224/27,j08-02,ukb-sam_chatbot_kingdom
shared0-samminionchatbotrt1-5-ukb.ops.sfdc.net,10.218.153.18/29,10.213.8.64/27,f07-02,ukb-sam_chatbot_kingdom
shared0-samminionchatbotrt1-6-ukb.ops.sfdc.net,10.218.153.19/29,10.213.8.96/27,f07-02,ukb-sam_chatbot_kingdom
shared0-samminionchatbotrt1-7-ukb.ops.sfdc.net,10.218.153.35/29,10.213.8.192/27,h02-02,ukb-sam_chatbot_kingdom
shared0-samminionchatbotrt1-8-ukb.ops.sfdc.net,10.218.153.51/29,10.213.9.0/27,j08-02,ukb-sam_chatbot_kingdom
shared0-samminionchatbotrt1-9-ukb.ops.sfdc.net,10.218.153.20/29,10.213.8.128/27,f07-02,ukb-sam_chatbot_kingdom
shared0-samminionchatbotrt2-1-ukb.ops.sfdc.net,10.218.153.10/29,10.213.9.96/27,l28-01,ukb-sam_chatbot_kingdom
shared0-samminionchatbotrt2-10-ukb.ops.sfdc.net,10.218.153.11/29,10.213.9.128/27,l28-01,ukb-sam_chatbot_kingdom
shared0-samminionchatbotrt2-2-ukb.ops.sfdc.net,10.218.153.42/29,10.213.9.32/27,k23-01,ukb-sam_chatbot_kingdom
shared0-samminionchatbotrt2-3-ukb.ops.sfdc.net,10.218.153.26/29,10.213.10.32/27,m09-02,ukb-sam_chatbot_kingdom
shared0-samminionchatbotrt2-4-ukb.ops.sfdc.net,10.218.153.27/29,10.213.10.64/27,m09-02,ukb-sam_chatbot_kingdom
shared0-samminionchatbotrt2-5-ukb.ops.sfdc.net,10.218.153.58/29,10.213.8.0/27,d07-02,ukb-sam_chatbot_kingdom
shared0-samminionchatbotrt2-6-ukb.ops.sfdc.net,10.218.153.43/29,10.213.9.64/27,k23-01,ukb-sam_chatbot_kingdom
shared0-samminionchatbotrt2-7-ukb.ops.sfdc.net,10.218.153.59/29,10.213.8.32/27,d07-02,ukb-sam_chatbot_kingdom
shared0-samminionchatbotrt2-8-ukb.ops.sfdc.net,10.218.153.12/29,10.213.9.160/27,l28-01,ukb-sam_chatbot_kingdom
shared0-samminionchatbotrt2-9-ukb.ops.sfdc.net,10.218.153.28/29,10.213.10.96/27,m09-02,ukb-sam_chatbot_kingdom
shared0-samminiongater1-1-ukb.ops.sfdc.net,10.218.143.18/29,10.213.60.96/27,k23-01,ukb-sam_gater
shared0-samminiongater1-2-ukb.ops.sfdc.net,10.218.143.34/29,10.213.60.0/27,d07-02,ukb-sam_gater
shared0-samminiongater1-3-ukb.ops.sfdc.net,10.218.143.10/29,10.213.60.32/27,h02-02,ukb-sam_gater
shared0-samminiongater2-1-ukb.ops.sfdc.net,10.218.143.26/29,10.213.60.64/27,j08-02,ukb-sam_gater
shared0-samminiongater2-2-ukb.ops.sfdc.net,10.218.143.2/29,10.213.60.128/27,m08-02,ukb-sam_gater
shared0-samminionmoderationeinstein1-1-ukb.ops.sfdc.net,10.218.152.210/29,10.213.6.64/27,f07-02,ukb-sam_moderation_einstein
shared0-samminionmoderationeinstein1-2-ukb.ops.sfdc.net,10.218.152.194/29,10.213.6.32/27,d07-02,ukb-sam_moderation_einstein
shared0-samminionmoderationeinstein2-1-ukb.ops.sfdc.net,10.218.152.202/29,10.213.6.0/27,b07-02,ukb-sam_moderation_einstein
shared0-samminionreportcollector1-1-ukb.ops.sfdc.net,10.218.149.34/28,10.213.62.0/27,b07-02,ukb-sam_report_collector
shared0-samminionreportcollector2-1-ukb.ops.sfdc.net,10.218.149.18/28,10.213.62.32/27,f07-02,ukb-sam_report_collector
shared0-samminionreportcollector3-1-ukb.ops.sfdc.net,10.218.149.10/28,10.213.62.64/27,l28-01,ukb-sam_report_collector
shared0-samminionwarden1-1-ukb.ops.sfdc.net,10.218.151.66/29,10.213.0.32/27,f07-02,ukb-sam_warden
shared0-samminionwarden1-2-ukb.ops.sfdc.net,10.218.151.82/29,10.213.0.0/27,d07-02,ukb-sam_warden
shared0-samminionwarden2-1-ukb.ops.sfdc.net,10.218.151.74/29,10.213.0.64/27,m08-02,ukb-sam_warden
